u0023_20e3	keycap: #
u1f1f5_1f1f7	flag: Puerto Rico
u1f1f5_1f1f8	flag: Palestinian Territories
u1f1f5_1f1f9	flag: Portugal
u1f1f5_1f1fc	flag: Palau
u1f1f5_1f1fe	flag: Paraguay
u1f1f6_1f1e6	flag: Qatar
u1f1f7_1f1ea	flag: Réunion
u1f1f7_1f1f4	flag: Romania
u1f1f7_1f1f8	flag: Serbia
u1f1f7_1f1fa	flag: Russia
u1f1f7_1f1fc	flag: Rwanda
u1f1f8_1f1e6	flag: Saudi Arabia
u1f1f8_1f1e7	flag: Solomon Islands
u1f1f8_1f1e8	flag: Seychelles
u1f1f8_1f1e9	flag: Sudan
u1f1f8_1f1ea	flag: Sweden
u1f1f8_1f1ec	flag: Singapore
u1f1f8_1f1ed	flag: St. Helena
u1f1f8_1f1ee	flag: Slovenia
u1f1f8_1f1ef	flag: Svalbard & Jan Mayen
u1f1f8_1f1f0	flag: Slovakia
u1f1f8_1f1f1	flag: Sierra Leone
u1f1f8_1f1f2	flag: San Marino
u1f1f8_1f1f3	flag: Senegal
u1f1f8_1f1f4	flag: Somalia
u1f1f8_1f1f7	flag: Suriname
u1f1f8_1f1f8	flag: South Sudan
u1f1f8_1f1f9	flag: São Tomé & Príncipe
u1f1f8_1f1fb	flag: El Salvador
u1f1f8_1f1fd	flag: Sint Maarten
u1f1f8_1f1fe	flag: Syria
u1f1f8_1f1ff	flag: Eswatini
u1f1f9_1f1e6	flag: Tristan da Cunha
u1f1f9_1f1e8	flag: Turks & Caicos Islands
u1f1f9_1f1e9	flag: Chad
u1f1f9_1f1eb	flag: French Southern Territories
u1f1f9_1f1ec	flag: Togo
u1f1f9_1f1ed	flag: Thailand
u1f1f9_1f1ef	flag: Tajikistan
u1f1f9_1f1f0	flag: Tokelau
u1f1f9_1f1f1	flag: Timor-Leste
u1f1f9_1f1f2	flag: Turkmenistan
u1f1f9_1f1f3	flag: Tunisia
u1f1f9_1f1f4	flag: Tonga
u1f1f9_1f1f7	flag: Turkey
u1f1f9_1f1f9	flag: Trinidad & Tobago
u1f1f9_1f1fb	flag: Tuvalu
u1f1f9_1f1fc	flag: Taiwan
u1f1f9_1f1ff	flag: Tanzania
u1f1fa_1f1e6	flag: Ukraine
u1f1fa_1f1ec	flag: Uganda
u1f1fa_1f1f2	flag: U.S. Outlying Islands
u1f1fa_1f1f3	flag: United Nations
u1f1fa_1f1f8	flag: United States
u1f1fa_1f1fe	flag: Uruguay
u1f1fa_1f1ff	flag: Uzbekistan
u1f1fb_1f1e6	flag: Vatican City
u1f1fb_1f1e8	flag: St. Vincent & Grenadines
u1f1fb_1f1ea	flag: Venezuela
u1f1fb_1f1ec	flag: British Virgin Islands
u1f1fb_1f1ee	flag: U.S. Virgin Islands
u1f1fb_1f1f3	flag: Vietnam
u1f1fb_1f1fa	flag: Vanuatu
u1f1fc_1f1eb	flag: Wallis & Futuna
u1f1fc_1f1f8	flag: Samoa
u1f1fd_1f1f0	flag: Kosovo
u1f1fe_1f1ea	flag: Yemen
u1f1fe_1f1f9	flag: Mayotte
u1f1ff_1f1e6	flag: South Africa
u1f1ff_1f1f2	flag: Zambia
u1f1ff_1f1fc	flag: Zimbabwe
u1f201	Japanese “here” button
u1f202	Japanese “service charge” button
u1f21a	Japanese “free of charge” button
u1f22f	Japanese “reserved” button
u1f232	Japanese “prohibited” button
u1f233	Japanese “vacancy” button
u1f234	Japanese “passing grade” button
u1f235	Japanese “no vacancy” button
u1f236	Japanese “not free of charge” button
u1f237	Japanese “monthly amount” button
u1f238	Japanese “application” button
u1f239	Japanese “discount” button
u1f23a	Japanese “open for business” button
u1f250	Japanese “bargain” button
u1f251	Japanese “acceptable” button
u1f300	cyclone
u1f301	foggy
u1f302	closed umbrella
u1f303	night with stars
u1f304	sunrise over mountains
u1f305	sunrise
u1f306	cityscape at dusk
u1f307	sunset
u1f308	rainbow
u1f309	bridge at night
u1f30a	water wave
u1f30b	volcano
u1f30c	milky way
u1f30d	globe showing Europe-Africa
u1f30e	globe showing Americas
u1f30f	globe showing Asia-Australia
u1f310	globe with meridians
u1f311	new moon
u1f312	waxing crescent moon
u1f313	first quarter moon
u1f314	waxing gibbous moon
u1f315	full moon
u1f316	waning gibbous moon
u1f317	last quarter moon
u1f318	waning crescent moon
u1f319	crescent moon
u1f31a	new moon face
u1f31b	first quarter moon face
u1f31c	last quarter moon face
u1f31d	full moon face
u1f31e	sun with face
u1f31f	glowing star
u1f320	shooting star
u1f321	thermometer
u1f324	sun behind small cloud
u1f325	sun behind large cloud
u1f326	sun behind rain cloud
u1f327	cloud with rain
u1f328	cloud with snow
u1f329	cloud with lightning
u1f32a	tornado
u1f32b	fog
u1f32c	wind face
u1f32d	hot dog
u1f32e	taco
u1f32f	burrito
u1f330	chestnut
u1f331	seedling
u1f332	evergreen tree
u1f333	deciduous tree
u1f334	palm tree
u1f335	cactus
u1f336	hot pepper
u1f337	tulip
u1f338	cherry blossom
u1f339	rose
u1f33a	hibiscus
u1f33b	sunflower
u1f33c	blossom
u1f33d	ear of corn
u1f33e	sheaf of rice
u1f33f	herb
u1f340	four leaf clover
u1f341	maple leaf
u1f342	fallen leaf
u1f343	leaf fluttering in wind
u1f344	mushroom
u1f345	tomato
u1f346	eggplant
u1f347	grapes
u1f348	melon
u1f349	watermelon
u1f34a	tangerine
u1f34b	lemon
u1f34c	banana
u1f34d	pineapple
u1f34e	red apple
u1f34f	green apple
u1f350	pear
u1f351	peach
u1f352	cherries
u1f353	strawberry
u1f354	hamburger
u1f355	pizza
u1f356	meat on bone
u1f357	poultry leg
u1f358	rice cracker
u1f359	rice ball
u1f35a	cooked rice
u1f35b	curry rice
u1f35c	steaming bowl
u1f35d	spaghetti
u1f35e	bread
u1f35f	french fries
u1f360	roasted sweet potato
u1f361	dango
u1f362	oden
u1f363	sushi
u1f364	fried shrimp
u1f365	fish cake with swirl
u1f366	soft ice cream
u1f367	shaved ice
u1f368	ice cream
u1f369	doughnut
u1f36a	cookie
u1f36b	chocolate bar
u1f36c	candy
u1f36d	lollipop
u1f36e	custard
u1f36f	honey pot
u1f370	shortcake
u1f371	bento box
u1f372	pot of food
u1f373	cooking
u1f374	fork and knife
u1f375	teacup without handle
u1f376	sake
u1f377	wine glass
u1f378	cocktail glass
u1f379	tropical drink
u1f37a	beer mug
u1f37b	clinking beer mugs
u1f37c	baby bottle
u1f37d	fork and knife with plate
u1f37e	bottle with popping cork
u1f37f	popcorn
u1f380	ribbon
u1f381	wrapped gift
u1f382	birthday cake
u1f383	jack-o-lantern
u1f384	Christmas tree
u1f385	Santa Claus
u1f385_1f3fb	Santa Claus: light skin tone
u1f385_1f3fc	Santa Claus: medium-light skin tone
u1f385_1f3fd	Santa Claus: medium skin tone
u1f385_1f3fe	Santa Claus: medium-dark skin tone
u1f385_1f3ff	Santa Claus: dark skin tone
u1f386	fireworks
u1f387	sparkler
u1f388	balloon
u1f389	party popper
u1f38a	confetti ball
u1f38b	tanabata tree
u1f38c	crossed flags
u1f38d	pine decoration
u1f38e	Japanese dolls
u1f38f	carp streamer
u1f390	wind chime
u1f391	moon viewing ceremony
u1f392	backpack
u1f393	graduation cap
u1f396	military medal
u1f397	reminder ribbon
u1f399	studio microphone
u1f39a	level slider
u1f39b	control knobs
u1f39e	film frames
u1f39f	admission tickets
u1f3a0	carousel horse
u1f3a1	ferris wheel
u1f3a2	roller coaster
u1f3a3	fishing pole
u1f3a4	microphone
u1f3a5	movie camera
u1f3a6	cinema
u1f3a7	headphone
u1f3a8	artist palette
u1f3a9	top hat
u1f3aa	circus tent
u1f3ab	ticket
u1f3ac	clapper board
u1f3ad	performing arts
u1f3ae	video game
u1f3af	direct hit
u1f3b0	slot machine
u1f3b1	pool 8 ball
u1f3b2	game die
u1f3b3	bowling
u1f3b4	flower playing cards
u1f3b5	musical note
u1f3b6	musical notes
u1f3b7	saxophone
u1f3b8	guitar
u1f3b9	musical keyboard
u1f3ba	trumpet
u1f3bb	violin
u1f3bc	musical score
u1f3bd	running shirt
u1f3be	tennis
u1f3bf	skis
u1f3c0	basketball
u1f3c1	chequered flag
u1f3c2	snowboarder
u1f3c2_1f3fb	snowboarder: light skin tone
u1f3c2_1f3fc	snowboarder: medium-light skin tone
u1f3c2_1f3fd	snowboarder: medium skin tone
u1f3c2_1f3fe	snowboarder: medium-dark skin tone
u1f3c2_1f3ff	snowboarder: dark skin tone
u1f3c3	person running
u1f3c3_1f3fb	person running: light skin tone
u1f3c3_1f3fb_200d_2640	woman running: light skin tone
u1f3c3_1f3fb_200d_2642	man running: light skin tone
u1f3c3_1f3fc	person running: medium-light skin tone
u1f3c3_1f3fc_200d_2640	woman running: medium-light skin tone
u1f3c3_1f3fc_200d_2642	man running: medium-light skin tone
u1f3c3_1f3fd	person running: medium skin tone
u1f3c3_1f3fd_200d_2640	woman running: medium skin tone
u1f3c3_1f3fd_200d_2642	man running: medium skin tone
u1f3c3_1f3fe	person running: medium-dark skin tone
u1f3c3_1f3fe_200d_2640	woman running: medium-dark skin tone
u1f3c3_1f3fe_200d_2642	man running: medium-dark skin tone
u1f3c3_1f3ff	person running: dark skin tone
u1f3c3_1f3ff_200d_2640	woman running: dark skin tone
u1f3c3_1f3ff_200d_2642	man running: dark skin tone
u1f3c3_200d_2640	woman running
u1f3c3_200d_2642	man running
u1f3c4	person surfing
u1f3c4_1f3fb	person surfing: light skin tone
u1f3c4_1f3fb_200d_2640	woman surfing: light skin tone
u1f3c4_1f3fb_200d_2642	man surfing: light skin tone
u1f3c4_1f3fc	person surfing: medium-light skin tone
u1f3c4_1f3fc_200d_2640	woman surfing: medium-light skin tone
u1f3c4_1f3fc_200d_2642	man surfing: medium-light skin tone
u1f3c4_1f3fd	person surfing: medium skin tone
u1f3c4_1f3fd_200d_2640	woman surfing: medium skin tone
u1f3c4_1f3fd_200d_2642	man surfing: medium skin tone
u1f3c4_1f3fe	person surfing: medium-dark skin tone
u1f3c4_1f3fe_200d_2640	woman surfing: medium-dark skin tone
u1f3c4_1f3fe_200d_2642	man surfing: medium-dark skin tone
u1f3c4_1f3ff	person surfing: dark skin tone
u1f3c4_1f3ff_200d_2640	woman surfing: dark skin tone
u1f3c4_1f3ff_200d_2642	man surfing: dark skin tone
u1f3c4_200d_2640	woman surfing
u1f3c4_200d_2642	man surfing
u1f3c5	sports medal
u1f3c6	trophy
u1f3c7	horse racing
u1f3c7_1f3fb	horse racing: light skin tone
u1f3c7_1f3fc	horse racing: medium-light skin tone
u1f3c7_1f3fd	horse racing: medium skin tone
u1f3c7_1f3fe	horse racing: medium-dark skin tone
u1f3c7_1f3ff	horse racing: dark skin tone
u1f3c8	american football
u1f3c9	rugby football
u1f3ca	person swimming
u1f3ca_1f3fb	person swimming: light skin tone
u1f3ca_1f3fb_200d_2640	woman swimming: light skin tone
u1f3ca_1f3fb_200d_2642	man swimming: light skin tone
u1f3ca_1f3fc	person swimming: medium-light skin tone
u1f3ca_1f3fc_200d_2640	woman swimming: medium-light skin tone
u1f3ca_1f3fc_200d_2642	man swimming: medium-light skin tone
u1f3ca_1f3fd	person swimming: medium skin tone
u1f3ca_1f3fd_200d_2640	woman swimming: medium skin tone
